,pos_x_p1,pos_y_p1,pos_z_p1,vel_x_p1,vel_y_p1,vel_z_p1,ang_vel_x_p1,ang_vel_y_p1,ang_vel_z_p1,rot_x_p1,rot_y_p1,rot_z_p1,boost_p1,pos_x_p2,pos_y_p2,pos_z_p2,vel_x_p2,vel_y_p2,vel_z_p2,ang_vel_x_p2,ang_vel_y_p2,ang_vel_z_p2,rot_x_p2,rot_y_p2,rot_z_p2,boost_p2,pos_x_p3,pos_y_p3,pos_z_p3,vel_x_p3,vel_y_p3,vel_z_p3,ang_vel_x_p3,ang_vel_y_p3,ang_vel_z_p3,rot_x_p3,rot_y_p3,rot_z_p3,boost_p3,pos_x_p4,pos_y_p4,pos_z_p4,vel_x_p4,vel_y_p4,vel_z_p4,ang_vel_x_p4,ang_vel_y_p4,ang_vel_z_p4,rot_x_p4,rot_y_p4,rot_z_p4,boost_p4,pos_x_p5,pos_y_p5,pos_z_p5,vel_x_p5,vel_y_p5,vel_z_p5,ang_vel_x_p5,ang_vel_y_p5,ang_vel_z_p5,rot_x_p5,rot_y_p5,rot_z_p5,boost_p5,pos_x_p6,pos_y_p6,pos_z_p6,vel_x_p6,vel_y_p6,vel_z_p6,ang_vel_x_p6,ang_vel_y_p6,ang_vel_z_p6,rot_x_p6,rot_y_p6,rot_z_p6,boost_p6,frames,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,rot_x,rot_y,rot_z,is_goal,id,replay_name,date,expected_goal
4921,2373.7099609375,3301.760009765625,996.0800170898438,-12541.8994140625,15733.00048828125,-1220.0,-2320.0999450683594,264.0999984741211,-1738.0999755859375,-0.9015235656052444,-0.489838595745753,-3.035507099998992,126.0,3171.77001953125,-3984.47998046875,16.989999771118164,18089.599609375,10082.80029296875,2.5,-0.0,0.1999999955296516,2055.8999633789062,0.009576713893262,-2.5513369986961574,-2.633485926358529e-05,246.1009377689772,-1927.75,-3224.030029296875,103.66999816894533,1126.500015258789,19155.699462890625,806.8000030517578,-5263.699951171875,-1393.9999389648438,-774.1000366210938,0.7660372514358949,-2.468185857290377,-1.0698907629640944,31.0,-3400.10009765625,3582.800048828125,16.989999771118164,4164.599914550781,20819.7998046875,4.699999988079071,-0.0,-0.1999999955296516,-1560.2000427246094,0.009596547259488,-1.8076164312056464,-0.0001274836151165,75.0,-372.1000061035156,4408.6201171875,16.989999771118164,14714.100341796877,15777.7001953125,4.600000083446503,-1.0000000149011612,-0.7000000029802322,-1130.8000183105469,0.0096250273206124,-2.346703189755747,-8.443110538686694e-05,205.0,4078.97998046875,1894.6300048828125,327.260009765625,-1.899999976158142,6294.69970703125,-10840.10009765625,1350.0,2.800000011920929,-4.000000059604645,0.9571061913179848,-1.587423199001817,-1.58426193398415,232.0,9126,2013.3699951171875,3687.77001953125,1042.030029296875,-17378.299560546875,20478.699951171875,-3820.199890136719,-4541.000061035156,898.3999633789062,3361.499938964844,0.0369739333353584,0.8827253645353064,-1.983551880494628,0.0,916019FC11EA6B0F87EF53BC777CAF14,C:\Users\blake\Documents\rlcsseason9\RLCS Season 9\Rival Series\North America\Week 6\M3 - Absolute Leverage vs 72 Pin Connector\68F111CE433C16ED2E00959CD4A70965.replay,2020-03-20 21:08:46,0.1352490114002539
4922,-3369.10009765625,2239.3701171875,1002.8400268554688,14710.6005859375,14377.5,311.3999938964844,5318.0999755859375,-1402.2999572753906,-26.09999895095825,-0.502260261430607,-2.4793312790026736,-2.9052231982256638,166.43727308960374,-637.5499877929688,442.2999877929688,17.010000228881836,-1921.6000366210935,15691.8994140625,2.0999999344348907,-0.3999999910593033,4.799999892711639,-849.4999694824219,0.009596039293294,-1.496747595350461,1.9524890117979668e-05,188.0,-2702.570068359375,4825.89013671875,82.5999984741211,-15973.699951171877,13702.19970703125,-5829.000244140625,-121.49999618530272,397.2999954223633,1534.9000549316406,0.0563345705294391,-0.2866552598421054,0.1250971030364374,49.0,-2223.429931640625,4781.0498046875,17.010000228881836,11202.099609375,87.20000267028809,0.3999999910593033,5.199999809265137,-0.0,-1088.0999755859375,0.0095485847331908,3.0934931637951992,9.949448708578416e-05,252.0336171888536,-2795.550048828125,1949.47998046875,17.010000228881836,-14658.499755859377,-6274.7998046875,2.5,-0.0,-0.0,-2624.599914550781,0.0095949731894806,0.2869927699764194,-0.0001235111354061,114.0,3806.0,803.6400146484375,17.010000228881836,-1019.0000152587892,21122.60009765625,-2.0000000298023224,5.600000023841858,18.09999942779541,856.8000030517578,0.0098265978155505,-1.443656012805712,-0.0004065392046952,234.2354065243916,1297,-3221.719970703125,2483.830078125,1012.4199829101562,23233.00048828125,22414.599609375,-1032.699966430664,-4389.89990234375,-298.6000061035156,-4079.1000366210938,-0.7592125516768922,0.4529754540323436,2.363329505158512,0.0,746D9D8411EA6B0EB55153BC5FFA8FCB,C:\Users\blake\Documents\rlcsseason9\RLCS Season 9\Rival Series\North America\Week 6\M3 - Absolute Leverage vs 72 Pin Connector\A68BBBE543C8E3F004E501B8BC58CB06.replay,2020-03-20 21:01:13,0.04416615742722054
4925,3594.75,1792.02001953125,379.1400146484375,-5600.2001953125,21158.60107421875,3460.8999633789062,-662.2000122070312,-2512.7999877929688,-4646.000061035156,-0.4961927952771853,-0.976636460593968,-1.0243564866109065,144.90843895942936,2314.3701171875,1541.550048828125,17.010000228881836,-7179.000244140625,-12129.49951171875,2.0999999344348907,0.3999999910593033,0.3999999910593033,0.0,0.0095721788302672,1.036350699415543,6.096828047139942e-05,143.0,-189.8800048828125,1992.22998046875,81.25,-1955.8000183105469,-22471.201171875,-1074.1999816894531,3463.500061035156,1161.8000030517578,260.2000045776367,-0.8869117963209371,1.547478513146505,0.1376357512901663,63.0,2900.4599609375,2969.39990234375,801.77001953125,-482.90000915527344,-13444.200439453123,-11126.099853515623,-408.1999969482422,3057.6998901367188,-705.5000305175781,-0.4467888114765039,1.7817276631868364,0.8753692736610514,12.16824104452646,320.94000244140625,4781.7099609375,17.010000228881836,7572.80029296875,7267.899780273437,2.5999999046325684,0.0999999977648258,-0.0,-3163.099975585937,0.0095653022144762,-2.8092679818860864,-5.327457159421445e-05,255.0,-1437.3499755859375,1115.97998046875,77.98999786376953,-14843.499755859377,17086.099853515625,-904.800033569336,-3151.700134277344,-2161.000061035156,-14.800000190734863,-0.9900742560759648,-0.975739939912178,0.0028718379921232,10.0,3638,3376.81005859375,2056.85009765625,528.2100219726562,-20137.900390625,17839.300537109375,3072.6998901367188,-156.5999984741211,871.1000061035156,5934.2999267578125,0.3721635065904545,1.117096123305562,-0.3344798694071105,0.0,746D9D8411EA6B0EB55153BC5FFA8FCB,C:\Users\blake\Documents\rlcsseason9\RLCS Season 9\Rival Series\North America\Week 6\M3 - Absolute Leverage vs 72 Pin Connector\A68BBBE543C8E3F004E501B8BC58CB06.replay,2020-03-20 21:01:13,0.12307058183351378
4926,-3355.5,1566.3399658203125,259.6000061035156,9139.69970703125,19118.00048828125,2668.699951171875,-912.3999786376952,5232.1002197265625,-1428.9999389648438,-0.182414640700403,1.3513494844892155,-0.7173858907400076,177.85960432021864,-4070.090087890625,3716.550048828125,734.969970703125,1141.2000274658203,9455.399780273438,-11108.599853515623,73.60000133514404,326.1000061035156,-1506.6000366210938,0.8350999046921586,1.4478742712978518,1.5705070483297665,159.06713119117163,1479.8299560546875,3913.43994140625,17.0,-18070.50048828125,-10504.100341796877,1.4000000059604645,0.5999999865889549,0.1999999955296516,1785.8000183105469,0.0095904447287545,-2.565147908494678,0.0001255515584992,67.06713119117163,-3877.760009765625,4157.89990234375,693.739990234375,6676.500244140625,7829.000244140625,-17976.500244140625,-1222.2000122070312,1304.4000244140625,-1286.6000366210938,1.079658145153266,0.8742192779640198,1.5747841991472826,99.0,3223.64990234375,824.1199951171875,17.0,-12332.5,19283.699951171875,3.700000047683716,-0.5999999865889549,1.19999997317791,313.4000015258789,0.0095973572312778,2.171851749776798,-0.0002206079990048,9.0,-583.010009765625,4965.419921875,17.010000228881836,-4913.800048828125,-3569.800109863281,2.5,-6.000000238418579,0.0,802.7999877929688,0.0097591963815328,-2.544453423397927,7.406786734673636e-05,57.0,4022,-3149.090087890625,1895.4000244140625,383.05999755859375,18013.499755859375,24478.1005859375,3750.899963378906,-2537.899932861328,-2112.5999450683594,-5009.5001220703125,0.5643206951535503,2.161200272046065,-0.1868139931155298,0.0,746D9D8411EA6B0EB55153BC5FFA8FCB,C:\Users\blake\Documents\rlcsseason9\RLCS Season 9\Rival Series\North America\Week 6\M3 - Absolute Leverage vs 72 Pin Connector\A68BBBE543C8E3F004E501B8BC58CB06.replay,2020-03-20 21:01:13,0.09668532227912964
4927,-3936.739990234375,3359.2900390625,1292.9100341796875,9358.300170898438,4665.899963378906,13922.2998046875,580.9999847412109,1801.3999938964844,5164.000244140625,-0.846643637096743,1.5801012380863872,2.140587376878116,0.0,890.739990234375,2949.239990234375,16.989999771118164,-6946.900024414063,-16323.699951171877,5.400000214576721,-0.3999999910593033,-0.5999999865889549,-3325.4998779296875,0.0095946853919328,-2.2381782026456265,-8.802919266902419e-05,102.0,-1869.77001953125,-3191.1201171875,17.0,-13840.30029296875,-18104.7998046875,3.3000001311302185,0.2999999932944774,0.2999999932944774,-27.5,0.0095859567555255,-2.2269370882669275,5.7639462392764826e-05,51.0,-3023.06005859375,4980.2998046875,910.1900024414062,7103.499755859375,4435.10009765625,9815.700073242188,-1413.9999389648438,1836.699981689453,-984.800033569336,-0.808884476421208,0.548772247390674,1.5790103117261236,146.40377639186002,-179.47000122070312,2999.6298828125,17.0,7737.39990234375,-6276.400146484375,4.399999976158142,-0.2999999932944774,0.0,3349.800109863281,0.0095497727050941,-0.3541935282999379,-1.565397098454346e-05,39.0,-2334.449951171875,3520.800048828125,17.010000228881836,5669.5001220703125,-9272.100219726562,2.5,0.0,0.5000000074505806,2694.200134277344,0.0095323305361573,-0.9276875565373368,3.914460382002277e-05,0.0,4126,-3679.989990234375,3523.110107421875,1325.9599609375,22129.09912109375,9315.800170898438,516.1999893188477,-3407.60009765625,4121.000061035156,-2721.199951171875,0.4583510155868404,-2.1806564523974985,-2.568234268969903,0.0,746D9D8411EA6B0EB55153BC5FFA8FCB,C:\Users\blake\Documents\rlcsseason9\RLCS Season 9\Rival Series\North America\Week 6\M3 - Absolute Leverage vs 72 Pin Connector\A68BBBE543C8E3F004E501B8BC58CB06.replay,2020-03-20 21:01:13,0.16615143534105906
4928,1286.5400390625,2018.4300537109373,395.5199890136719,-8398.699951171875,20974.69970703125,4303.800048828125,-700.4000091552734,-731.6999816894531,114.3000030517578,-0.6516171628477446,2.2917309006682607,-0.1966791398223965,30.06730327554929,2620.2099609375,2052.800048828125,16.950000762939453,-1648.6000061035156,21012.19970703125,17.5,-12.100000381469728,2.0999999344348907,-94.0999984741211,0.0088903246480326,1.639244995758376,-0.0001307483950099,70.0,-435.75,-866.739990234375,17.010000228881836,-12250.2001953125,18139.3994140625,2.0999999344348907,-0.1999999955296516,0.3999999910593033,76.30000114440918,0.0095954796339869,2.173827676579744,-7.594747692994622e-05,146.0,1523.760009765625,-2962.4599609375,53.81999969482422,-10106.900024414062,15832.19970703125,-2463.000030517578,468.4999847412109,-1154.7000122070312,1271.8000030517578,-0.1591514481748901,2.279179614161352,0.3452391293483492,0.0,1549.969970703125,2072.10009765625,357.260009765625,-16656.800537109375,15665.2001953125,2479.499969482422,-69.29999828338623,-111.30000114440918,326.50001525878906,-0.5427201315718697,3.0835101600474357,0.5594325482105313,3.841230218128496,3857.1201171875,264.25,882.1500244140625,-4832.200012207031,12588.00048828125,-9344.500122070312,355.49999237060547,1391.6000366210938,96.5999984741211,0.074173301593272,1.9285735076442865,-0.4062844808491884,0.0,5446,1107.1300048828125,2430.550048828125,529.4600219726562,-11644.3994140625,30051.4990234375,-704.7000122070312,-576.5000152587891,-5320.499877929688,-2712.6998901367188,1.0624385239063292,0.6671375102076668,-0.9161567530590706,1.0,746D9D8411EA6B0EB55153BC5FFA8FCB,C:\Users\blake\Documents\rlcsseason9\RLCS Season 9\Rival Series\North America\Week 6\M3 - Absolute Leverage vs 72 Pin Connector\A68BBBE543C8E3F004E501B8BC58CB06.replay,2020-03-20 21:01:13,0.8103455249864342
4930,1183.0400390625,4360.830078125,652.6500244140625,-21207.099609375,3901.499938964844,178.1999969482422,-45.0,795.8000183105469,-1430.8999633789062,-0.9919642303776866,1.656067439727192,-1.960931708665,41.201935783509285,-437.6000061035156,775.9500122070312,17.0,-4407.0001220703125,11902.900390625,3.799999952316284,-0.1999999955296516,0.0,2316.999969482422,0.0095483601339827,1.9904771000446169,-2.3723314649718343e-06,255.0,1529.6700439453125,1359.219970703125,17.010000228881836,-9974.69970703125,-356.50001525878906,2.0999999344348907,0.2999999932944774,-0.3999999910593033,-29.40000057220459,0.0095438591603301,-3.109993342891531,4.828827891384591e-05,155.0,-2089.780029296875,4254.43994140625,17.010000228881836,10561.800537109377,870.0,2.0999999344348907,0.3999999910593033,0.0,5.0,0.0095317852497903,0.0830886685815185,-4.1138257243065416e-05,85.0,167.58999633789062,4615.509765625,294.4599914550781,927.6000213623048,1295.399932861328,5762.19970703125,1487.2999572753906,-472.7999877929688,-1629.499969482422,-0.4605738610297393,0.7183117957412974,0.0896516670533909,45.336533361865634,1106.6099853515625,4781.39990234375,582.3099975585938,-17309.000244140625,-2073.800048828125,-153.4000015258789,-4069.200134277344,-3670.700073242188,465.2999877929688,-0.082764716439225,-2.409644703624122,2.3476457137518936,163.0,7268,792.1199951171875,4569.22998046875,775.9299926757812,-21124.09912109375,7667.60009765625,-782.6000213623047,-1459.9000549316406,1958.500061035156,1455.500030517578,-0.1998050412989868,3.022942096862872,2.097690776572548,0.0,746D9D8411EA6B0EB55153BC5FFA8FCB,C:\Users\blake\Documents\rlcsseason9\RLCS Season 9\Rival Series\North America\Week 6\M3 - Absolute Leverage vs 72 Pin Connector\A68BBBE543C8E3F004E501B8BC58CB06.replay,2020-03-20 21:01:13,0.08641575923198833
4931,-678.22998046875,4882.60986328125,576.72998046875,-20943.1005859375,7244.500122070312,-3033.099975585937,-4524.700012207031,-675.4000091552734,1111.8000030517578,0.0926433270365508,1.8243327282139687,-2.059543125128551,0.0,-1303.6700439453125,1449.050048828125,17.0,-14348.1005859375,6770.30029296875,3.100000023841858,0.0999999977648258,0.0,-1368.6000061035156,0.0095840598619427,2.693480745011098,-0.0002640444546861,233.0,830.9500122070312,1780.030029296875,17.010000228881836,-3047.6998901367188,8676.699829101562,2.39999994635582,0.0,0.7999999821186066,-2252.5999450683594,0.0096082895299617,1.8804026552773965,-0.0001144596716689,155.0,-1391.739990234375,4566.58984375,17.010000228881836,1845.399932861328,2153.8999938964844,2.0000000298023224,2.300000041723252,-1.0000000149011612,5.5000001192092896,0.0098248131306019,0.864892711291404,-5.802394757220017e-05,116.0,332.8599853515625,4890.490234375,774.27001953125,961.6999816894532,4039.200134277344,4081.9000244140634,-2154.1000366210938,1991.300048828125,-1162.7999877929688,-0.1877220811638036,0.614161083862783,-1.1577342304732938,11.0,-37.4900016784668,4609.85009765625,312.4700012207031,-8927.7001953125,-1568.3000183105469,-7759.7998046875,-1693.699951171875,1059.8999786376953,-1235.2999877929688,-0.9431859227712096,1.9535067312913676,-0.297755333440898,163.0,7292,-741.7899780273438,5086.89990234375,461.1199951171875,13079.7998046875,-5748.699951171875,-6164.6002197265625,1163.0999755859375,5852.39990234375,629.3000030517578,-0.8853880241969789,-0.0496927225596055,-0.4706426267169876,0.0,746D9D8411EA6B0EB55153BC5FFA8FCB,C:\Users\blake\Documents\rlcsseason9\RLCS Season 9\Rival Series\North America\Week 6\M3 - Absolute Leverage vs 72 Pin Connector\A68BBBE543C8E3F004E501B8BC58CB06.replay,2020-03-20 21:01:13,0.057473229617131916
4934,-1057.3900146484375,-761.2899780273438,664.1599731445312,-1810.2999877929688,11433.699951171877,5567.80029296875,2255.800018310547,3377.0001220703125,699.1000366210938,-0.6928094202026996,1.440703645205495,0.4491708655241357,158.90844729126144,-3352.050048828125,702.6699829101562,17.010000228881836,10384.200439453123,12430.10009765625,-0.0999999977648258,-0.5000000074505806,-0.7000000029802322,-53.00000190734863,0.0095979136938955,0.8661409276734051,0.0001047037360713,228.30278702961505,389.3900146484375,-4243.60986328125,17.010000228881836,13809.89990234375,700.0,2.0999999344348907,0.5999999865889549,0.1999999955296516,38.29999923706055,0.0095602985327496,0.0561190581600331,-8.247393061053599e-05,61.0,-1674.1099853515625,2392.239990234375,17.010000228881836,2962.099914550781,17161.400146484375,2.0999999344348907,-0.0999999977648258,0.9000000357627869,19.90000009536743,0.0096095750583319,1.4026770340590982,-8.232220598988341e-05,183.0,-3033.409912109375,4121.64990234375,16.989999771118164,14603.699951171877,16045.50048828125,4.600000083446503,-0.0999999977648258,-0.1999999955296516,-301.3999938964844,0.0095949344677483,0.8017412417289471,0.000158347654685,255.0,3150.77001953125,2365.550048828125,15.850000381469728,5134.69970703125,22223.40087890625,89.20000076293945,25.399999618530277,-83.19999694824219,1557.7999877929688,0.0104580792939545,1.3625445299616448,-0.0063629944999343,0.0,8373,-935.6099853515624,-214.1300048828125,834.22998046875,7166.400146484375,27533.1005859375,2335.800018310547,-2386.6000366210938,1903.999938964844,-5165.10009765625,0.1788724799463185,1.0412742274481548,1.0140437501179724,0.0,746D9D8411EA6B0EB55153BC5FFA8FCB,C:\Users\blake\Documents\rlcsseason9\RLCS Season 9\Rival Series\North America\Week 6\M3 - Absolute Leverage vs 72 Pin Connector\A68BBBE543C8E3F004E501B8BC58CB06.replay,2020-03-20 21:01:13,0.010512336033179703
4935,2742.050048828125,2242.780029296875,793.3200073242188,-14392.099609375,16810.699462890625,-157.39999771118164,3697.099914550781,-3692.300109863281,1716.9000244140625,0.1648188600559332,2.1057158053912914,2.591383229417065,74.0,2473.06005859375,-2153.989990234375,17.020000457763672,-7158.499755859375,10938.599853515623,1.0000000149011612,0.0999999977648258,-0.2999999932944774,-1645.5999755859375,0.0095658172107463,2.1356395994056863,-0.0001953211771757,241.0,5.380000114440918,-744.25,17.010000228881836,2902.39990234375,22330.30029296875,2.0999999344348907,0.0,0.7000000029802322,162.5,0.0096047966042216,1.4623449210704225,-0.0001316653122414,214.0,955.719970703125,-2130.5,27.1200008392334,-19610.0,8895.599975585938,-2281.3999938964844,-2457.2999572753906,82.89999961853027,-949.1999816894532,-0.0743828428197279,2.5938461525905088,-0.1743061693255852,32.0,2360.4599609375,4387.58984375,16.989999771118164,-11507.60009765625,6168.499755859375,4.799999892711639,-0.2999999932944774,-0.1999999955296516,2167.2000122070312,0.009618308294227,2.713412164601998,-2.091272141638117e-05,169.0,2181.889892578125,4302.259765625,17.010000228881836,-5970.10009765625,-5081.700134277344,2.5,0.0,-0.0999999977648258,-2487.100067138672,0.0095081937898959,-2.4566693435032825,-1.8047791246211735e-05,85.0,8663,2453.10009765625,2642.68994140625,896.280029296875,-12664.7998046875,17081.800537109375,978.7999725341796,934.5999908447266,1894.4999694824216,1702.2999572753906,-0.2587247893920478,1.223124177569637,-2.347345790053462,0.0,746D9D8411EA6B0EB55153BC5FFA8FCB,C:\Users\blake\Documents\rlcsseason9\RLCS Season 9\Rival Series\North America\Week 6\M3 - Absolute Leverage vs 72 Pin Connector\A68BBBE543C8E3F004E501B8BC58CB06.replay,2020-03-20 21:01:13,0.2041297792986383
